candidateID,candidate_name
WK2oJePz8O,Syed Qasim Shah
RYNBHNBvb0,M. Jehangir Khan
KmFFboG7de,Sahabzada Faiz-Ul-Hassan
AwsUVLIuxP,Manzoor Ahmad Khan
cjYQnx4tNB,Nawab Salahuddin Ahmad Abbasi
jhqIzWEBS0,Sahabzada M. Usman Abbasi
UmiMbmBCRh,M. Abdullah
X9ORmtXCPn,Malik Farooq Ahmad
UhBLfnUBcW,Sahabzada Farooq Anwar Abbasi
N4WlmfFZ60,Tariq Bashir Cheema
IZujSNjrBN,Syed Mehmood Akbar Rizvi
4yDnUXhmj7,M. Islam
QiL7g5RnwL,Mian Riaz Hussain Pirzada
kK6hq6g1ch,Syed Tasneem Nawaz Gardezi
bEwcJojMnR,Ch. Ghulam M. Azim
BjhmQaemLG,Mian Abdul Sattar Laleka
UHYmURMRop,Syed M. Asghar Shah
uFcHv3QWk4,Abdul Qadir Shaheen
GaUjfR8kOI,Mian Shaukat Ali Laleka
eJJaK7ss2d,Dr. Noor M. Ghaffari
PqcnMDuyfq,Mian Mumtaz Ahmad
OSnIZjO1Ne,Mian Abdul Sattar Laleka
wEQcAh87w2,Capt. M. Sadiq Khan Khakwani
nPZnfhmsxz,Ghulam Rasool
FdUTeedCL1,Abdul Sattar
RGhD1NiqvM,Ali Akbar Mazhar Wains
FQYu4RDT3c,Ch. Abdul Ghafoor
7HZBiGDXp9,Dr. Ehsan Bari
MoquaDaPZm,M. Siddiq
t5E3yY9HHc,Syed Ahmad Alam Anwar
hsvBKtaokg,Kh. M. Asghar Koreja
SNVZ8ts9Nz,Ch. Masood Ahmad
6d17Wf6Odw,Syed Masood Alam
5Z1DMv9qSI,Makhdoom Shahabuddin
cBVvkMRspo,Makhdoom Rukanuddin
xxn6Ah9k0r,Hafiz M. Akbar
nYzbHKAHrc,Mukhtiar Ahmad Azad
iG0DkbC04V,Ch. M. Jaffar Iqbal
8AtjCYwpFS,Zafar Iqbal Warraich
rFmhS8wtvB,Abdur Rauf Rabbani
T50lk3Fgn0,Abdul Majeed Kanju
ofmBF9YNqP,M. Saleem Akhtar
8rswCsp0Ns,Iftikhar Ahmad
qWraRt49eI,Nawabzada Salahuddin Saeed
dMq888hPHU,Zargul
TclVD52D3w,Shaukat Ali Khan
QoYubMviKd,Molana Hafeez-Ur-Rehman
0IVHqtv0EG,Mukhtasar Khan
N7A4n0GZIg,Attaullah
H76w1Dbwcs,Syed Ahmad Mehmood
EQZCriRCGm,Sardar Rafiq Haider Khan Leghari
mnnAkhgj6W,Ch. M. Hanif
vMp67vlOAx,Khurshid Ahmad Shah
dAxm3yPVEl,Yar M. Ghumro
9Zx7XBXWVv,Syed Gulzar Shah
K0W2tY1EVO,Asadullah Bhutto
VynjZSjvJw,Shoukat Ali
JR6uU4sX42,Sikandar Ali
LNchUXdWSw,Nusrat Aziz
umFnZ3fNHv,Dhani Bakhsh Baloch
GIkBX3hjcy,Abdul Mujib Pirzado
CPTsbYhvMJ,M. Saleem
k96AmaBVfO,Abdul Jabbar Lakho
bNHKU67Qxf,Mehboob Hussain
abYIOz0Iuz,Faruk Adil Sheikh
s9qAzJK9W5,Najmuddin Sheikh
x8P6LYdX4D,Abdul Kadir Ghumro
xDVxdyDqeZ,Javed Hussain Shah
tBg0F0AHfm,Sardar Ghulam M. Khan Mehar
sSgeZTjdST,Jam Saifullah Dharejo
CofbKzhwf6,Sardar Ali Gohar Khan
SbZXr6rOSP,Mir Sobdar Khan
GgFP0vHkD9,Ghulam Akbar Kalwar
ikFTffiX1q,Jam Zafarullah Khan Dharejo
IZj8uQnEer,Haji Ali Anwar Khan
5zWg9fxL3X,Karam Illahi Khan
jjDz52EptN,Sardar Haji Noor M. Khan Lund
61lKcMeKW8,Haji Ahmad Yar Khan
GV5x1eDftk,Jam Mumtaz Hussain
YAr5o1rtYR,Nawab Khan
3SyIGdVCfw,Dadan Khan Lund
2bA8M4ELUq,Manzoor Ahmad Khan
CZX6IwEwyZ,Sardar Ali Gohar Khan
XdraE4w0gn,Aftab Shahban Mirani
feveY4tqb6,Molvi M. Alim
6dI4na6pFt,Maqbool Ahmad
GCYOQUXOyn,Sher Muhammad
ILxWLfnBkd,Abdul Nabi
cqrOyDufcR,Zahid Ali
mRrr1Nmcwu,Junaid Ahmad
sdHRUV7EeA,Qazi Hafeez-Ur-Rehman
PPf1ORC3xK,Altaf Ali Bhayo
lyCtSpCcN2,Agha Atta M. Khan
QJyl20eNM4,Sardar Wahid Bakhsh Bhayo
WqRkuDR3Ay,Abdur Rahim Khan
AiB5ALhDze,Sikandar Khan Kakepoto
EpaJZAp9RW,Agha Arsala Khan
Jl4nOAoIXs,Mir Ijaz Khan
PoYcJDATvv,Mir Ramzan Khan Bhayo
QQ0rBByVHT,Muzafar Ali Issani
WweCCVWuws,Mir Ahmad Nawaz Khan Jakhrani
5sr43Dek1Y,Illahi Bakhsh Soomro
OyAG3bV8UR,Kashmeer Khan
eUgdc9UgM4,Molana M. Sharif
T4ae5TPXf1,Mir Liaquat Ali
nYhcR9WPDe,Sardar Baqa Muhammad
xXCaMajAqU,Mir Hassan Khan Khoso
Kml6xat8Uf,Ijaz Hussain
0CzF5FYddr,Mir Naseer Khan
E1J2Ni1uJZ,M. Aslam Abro (Retired)
zr0BFGcLf1,Mir Mehran Khan Bijarani
1bNvuhOp58,Mir Hazar Khan
Zpqf2J9pZQ,Pir Abdul Khalique Samejo
6Mq31Cu7nZ,Molvi Abdullah
MBYwkyyoJ8,Mir Baggan Khan
e7JqUa2pKe,Mir Sarferaz Khan
aYDOQeBJWY,Ghulam Mustafa Khan Jatoi
a2jkD4RTJ0,Asif Ali Zardari
gW3Yf3HQCw,Khan M. Jamali
9dorshRCQT,Dr. Abdul Hamid Memon
zcT4VXmBIU,Dil Murad Jamali
6SY81PmVqG,Zafar Ali Shah
qvaPGpxKft,Ghulam Asghar Abbasi
gjcbfWmN16,Ghulam Mustafa Jamali
Y1KuBuwMb0,Pir Syed Abbas Ali Shah
9KUB66uQ0X,Shabir Ahmad Saheto
V3aNDS7I1O,Arif Khan Jatoi
euvzhBEDyX,Ghulam Rasool Khan Jatoi
PaWFK6sz6d,Qadeer Ahmad Saheto
YAsEDtGclW,Maqsood Ahmad Qureshi
E6M3v6MwUd,Zafar Ali Shah
eOMH41M2Ue,Khalid Mian Rajpar
MrPVzzGuVP,Mole Dino Rajpar
XS0iA4TQql,M. Saddiq
x3QgfzdruX,Syed Murad Ali Shah
uLUb2Nm3uL,Munawar Ali Shah
UuijWo3Z6P,Ghulam Murtaza Soomro
UZpGoOjgPd,Tariq Khan
fUrQSFX6YU,Imtiaz Ali Taj
78NZ4znCKb,M. Siddiq
cVT0I1eOA9,Mumtaz Ali
T1bblqZprC,Abdul Jabbar
KOpIxP8veK,Ghulam Akbar
ER229G6PGx,Asghar Ali Shah
Crclszt7Pf,Ghulam Mujtaba Khan
8yKRCknOvR,Imam Bakhsh Khan
wckpdR6tyX,Haji M. Ayub Khan
Rr5y8ZrEU6,Alamzeb Khan
HivmXg2BIZ,Sadar Malik Jan
e4mv3qtPB4,"Alhaj Rab Nawaz Khan, Adv."
BX6ppG1tkx,Abdullah Jan
sGuYo31cEX,Asif Ali Zardari
XegFT7196J,Syed Kazim Hussain Shah
337buJ2I2b,Syed Javed Haider Shah
Wi9LYy9ual,Dr. Karam Ali Rustmani
LZv474Msqb,Kamran Azizullah
qDsSdD8p3l,Molvi Abdul Karim
MrlkyDt7Ss,M. Mohsin Naeem
y8WFGHpSxK,Abdul Majeed
9snuC5e3Ah,Syed Azam Hussain
A5ahpjHBWk,Dr. M. Umar
YMsQK2GRxG,Inayat Ali Rind
zeAGXlbZV0,Lal Mir Khan
cTij955VGb,M. Yaqoob Lashari
DSjqrrbXSr,Hakim Ali Zardari
jKVMlkOtwR,Syed Shabir Ahmad Shah
Tsj5k0Ufzl,Ghulam Mustafa Shah
2gSHZrPAB2,Syed Mehmood Ahmad Shah
d37lDCvuOG,Moharam Ali Khokhar
s1AmpAalhM,Ghulam Qadir Chandio
OXh2IcM55t,Sardar Jam Tamachi
Bf2LQrFWuu,Haji Allah Bakhsh Lakho
rLW4X0Cl1L,Shabir Ahmad Khanzada
1Yln22lT7a,Jam Feroze
4NPAyfil5z,Abdul Rasheed Ghagar
uHNFW8ucve,Manzoor Hussain Wassan
nNIuhLRRRV,S. Ghous Ali Shah
0vtIjK16aA,S. Sanaullah Shah
c0tuuiPZEi,S. Shabir Haider Shah
TpLZJqFRoS,M. Ali Wassan
9vEdvoZBfZ,Rahim Bakhsh Wassan
qW8JuFF02K,Pir Syed Abdul Qadir Shah
XgBbO69clV,Pir Syed Saddaruddin Shah
UOwUKDJr0B,Sharafuddin Khan
zihbdjFwxC,Pir Syed M. Taqi Shah
I1EmzcZZng,Dr. Ahmad Ali
GUSLbnoPlN,Pir Syed Zahoor Ahmad Shah
yXiEd1OdjF,Pir Bakhsh
mdR6eqwPUR,Bashir Ahmad
7O9jOnvPWH,Mumtaz Hussain
LQQOtAEVlD,Begum Nusrat Bhutto
JB7Jn7wycb,Hameed Khuhro
PjEk39TsHi,Hafiz Ahmad Ali
MYJA66q9gP,M. Ashiq
5ZTVcmtrId,Qamaruddin Bhatti
91q6fBINE1,Dr. Mazhar Ali Mughal
KJl5rL2UJo,Bahawal Khan Unar (Rtd)
CPG4Ibx7s8,Shabir Ahmad Chandio
UWvdIgS7qO,Sardar Ahmad Sultan Chandio
JMnIshJ2uj,Mushtaq Ahmad Chandio
gOlauTmw2m,Molana M. Siddiq Mugheri
0mHmiEnoy8,Raees Haji Arbab Ali Buledi
3YWk6x0uhI,Mir Murtaza Bhutto
ickielCcLc,Asghar Mashooq Shah
