candidate_name,candidate_party
Makhdoom Fahad Iqbal,Independents
Syed Gul Hassan Shah Bukhari,Independents
Qamar-Ud-Din Khan,Independents
Nazir Hussain Khan Rind,Independents
Mehr Rab Nawaz Lak,Pakistan Muslim League (Nawaz)
Khaliq Dad Parhar,Pakistan Peoples Party Parliamentarians
Mehar Ghulam Dstagir Khan Lak,Pakistan Muslim League (Qaid-e-Azam)
Rehmat Elahi Wazir,Independents
Muhammad Ejaz Shafi,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Sohail Wahid,Pakistan Peoples Party Parliamentarians
Ch. Sabir Ali Advocate,Pakistan Muslim League (Nawaz)
Maj. (Rtd) Farrukh Raza Khan,Pakistan Muslim League (Functional)
Eng. Syed Muhammad Hussain,Muttahida Qaumi Movement Pakistan
Sajid Chaudhary,Independents
Abdul Rahim Haqani,Muttahidda Majlis-e-Amal Pakistan
Abdul Rauf,Independents
Muhammad Nadeem,Independents
Muhammad Noman Nawaz Advocate,Independents
Muhammad Abdullah Qureshi,Independents
Dr. Muhammad Yasin Malik,Independents
Main Shehzad Anwar,Independents
Makhdoom Muhammad Irtaza,Pakistan Peoples Party Parliamentarians
Makhdoom Musharraf Hussain,Pakistan Muslim League (Qaid-e-Azam)
Makhdoom Alambardar Hussain Hashmi,Pakistan Muslim League (Functional)
Shahzad Asghar Khan Rind  Advocate,Pakistan Muslim League (Nawaz)
Makhdoom Ahmad Mujtaba,Independents
Makhdoom Syed Ahmad Mehmood,Pakistan Muslim League (Functional)
Makhdoom Muhammad Adrees Hashmi,Pakistan Peoples Party Parliamentarians
Makhdoom Syed Ali Akbar Mehmood,Pakistan Muslim League (Qaid-e-Azam)
Ghulam Murtaza,Independents
Peer Ayaz Muhammad Shah Advocate,Pakistan Muslim League (Nawaz)
Mufti Abdul Hameed Daher,Muttahidda Majlis-e-Amal Pakistan
Makhdoom Ashfaq Ahmad,Independents
Makhdoom Alambardar Hussain Hashmi,Independents
Eng. Javid Akbar Dhilloon,Pakistan Peoples Party Parliamentarians
Abdul Raouf,Pakistan Muslim League (Nawaz)
Mumtaz Mustafa,Pakistan Muslim League (Functional)
Mian Ahmad Bilal,Pakistan Muslim League (Qaid-e-Azam)
Sultan Ahmad Bandaisha,Muttahidda Majlis-e-Amal Pakistan
Shahid Iqbal Siddiqui,Muttahida Qaumi Movement Pakistan
Zaib Jafar,Independents
Shahid Islam,Independents
Muhammad Riaz Noori,Independents
Maj (R) Sarfraz Ahmad,Independents
Liaquat Ali Randhawa,Independents
Rana Iftikhar Rasool Khan,Independents
Zahoor Ahmad (Retired),Independents
Javed Hassan Gujjar,Pakistan Peoples Party Parliamentarians
Ch. Naveed Akhtar,Pakistan Muslim League (Qaid-e-Azam)
Mahmood-Ul-Hassan Cheema,Pakistan Muslim League (Nawaz)
Jam Muzaffar Ali,Pakistan Muslim League (Functional)
Nazeer Ahmad  Advocate,Independents
Ch. A. Nisar Ahmad Advocate,Independents
Muhammad Shafi,Independents
Muhammad Riaz Noori,Muttahidda Majlis-e-Amal Pakistan
Ch. Zafar Iqbal,Independents
Mian Ahmad Bilal,Independents
Basharat Ali Hundal Advocate,Independents
Zia Altaf,Independents
Ch. Muhammab Tayyab  Advocate,Independents
Makhdoom Ashfaq Ahmad,Independents
Irfan Siddique Gill,Independents
Ch. Muhammad Shafique,Pakistan Muslim League (Nawaz)
Shaukat Dawood,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Talib Bhatti,Muttahida Qaumi Movement Pakistan
Shaikh Nadeem Hussain Siddique,Muttahidda Majlis-e-Amal Pakistan
Mazhar Rasool,Independents
Rais Muhammd Mahboob Ahmad,Independents
Rais Ibraheem Khalil Ahmad,Pakistan Peoples Party Parliamentarians
Sardar Arsalan Haider Khan,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Irfan Abbasi Advocate,Independents
Sardar Sikander Hayat Khan Laghari,Independents
Sardar Muhammad Arshad Khan Laghari,Independents
Danish Mand Khan Kosh Advocate,Independents
Mushtaq Ahmad Khan Mughal Advocate,Muttahida Qaumi Movement Pakistan
Shaikh Aziz Aslam,Independents
Raja Tariq Kiani,Pakistan Peoples Party Parliamentarians
Iftikhar Ahmed Warsi,Pakistan Muslim League (Nawaz)
Ch. Javaid Kausar Advocate,Pakistan Muslim League (Qaid-e-Azam)
Saeedain Khan Advocate,Pakistan Aman Party
Salim Akram,Independents
Tahir Ahmed Sidhu,Independents
Nafees Ahmed Herl,Pakistan Peoples Party Parliamentarians
Mian Muhammad Ahmed Faisal Ranjha,Pakistan Muslim League (Nawaz)
Mian Abdul Qadeer,Pakistan Muslim League (Qaid-e-Azam)
Faisal Naseer,Independents
Muhammad Ashraf Gondal,Independents
Ch:muhammad Awais Aslam Madhana,Pakistan Peoples Party Parliamentarians
Manazar Hussain Ranjah,Pakistan Muslim League (Qaid-e-Azam)
Mazhar Ali Ranjah,Pakistan Muslim League (Nawaz)
Khalid Mehmood Rawaliya,Independents
Ch. Tanveer Ahmed Madhana,Independents
Syed Ameer Abbas,Independents
Ch. Aamar Sultan Cheema,Pakistan Muslim League (Qaid-e-Azam)
Mian Muhammad Khalid Kalyar,Pakistan Peoples Party Parliamentarians
Ahtesham Ahemd Cheema,Pakistan Muslim League (Nawaz)
Mohsin Shah Nawaz Ranjha,Independents
Raja Waqar Mehdi,Independents
Ahtesham Murtaza,Independents
Ch.mubarak Ahmed Warraich,Independents
Khawar Javaid Cheema,Independents
Ch.abdul Razzaq Dhillon,Pakistan Muslim League (Nawaz)
Muhammad Afzal Mirza Advocate,Pakistan Peoples Party Parliamentarians
Begum Malik Shoaib Awan,Pakistan Muslim League (Qaid-e-Azam)
Asfaq Ahmed Shah,Independents
Irfan Ullah Sanai,Muttahidda Majlis-e-Amal Pakistan
Muhammad Hamid Hameed,Independents
Babar Hameed,Independents
Muhammad Imran Baig,Independents
Dr. Muhammad Rizwan,Independents
Rizwan Nowaiz Gill,Pakistan Muslim League (Nawaz)
Dr. Nadia Aziz,Pakistan Peoples Party Parliamentarians
Dr. Liaqat Ali Khan,Independents
Muhammad Sarfraz Gondal,Pakistan Muslim League (Qaid-e-Azam)
Shahnaz Ashraf,Independents
Ch. Abdur Razzaq Dhillon,Independents
Muahmmad Azhar Malhi,Independents
Aslam Katchela,Muttahidda Majlis-e-Amal Pakistan
Muhammad Sabtain Shah,Independents
Dr. Zulfiqar Ali Bhatti,Independents
Shehzad Aslam,Independents
Muhammad Mumtaz Akhtar Kahlun,Independents
Ali Asad Ullah Bajwa,Independents
Mehr Zahoor Ahmed Arain,Independents
Sheikh Asif Iqbal,Independents
Sardar Kamil Gujjar,Pakistan Peoples Party Parliamentarians
Ch.faisal Farooq Cheema,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Ali Rauf,Pakistan Muslim League (Nawaz)
Ch.muhammad Ali Gujar Advocate,Independents
Syed Arif Abbas Shah,Independents
Rana Munawar Hussain Alias Rana Munawar Ghous Khan,Pakistan Peoples Party Parliamentarians
Ch.faisal Javaid Ghuman,Pakistan Muslim League (Qaid-e-Azam)
Mian Muhammad Ahmed Kalyar,Pakistan Muslim League (Nawaz)
Rana Muhammad Saleem Khan,Independents
Asif Ali Sheikh,Independents
Ghulam Nizam-Ud-Din Sialvi,Pakistan Muslim League (Nawaz)
Muhammad Ali Raza Lahri,Independents
Maj. (Retired)Sir Blund Ali Khan,Independents
Maj. (Retired)Asghar Hayat Kalyar,Pakistan Muslim League (Qaid-e-Azam)
Sardar Muhammad Shafqat Hayat Khan,Independents
Shahzadi Umerzadi Tiwana,Pakistan Muslim League (Nawaz)
Muhammad Munir Qureshi,Pakistan Muslim League (Qaid-e-Azam)
Sardar Bahadar Khan Maken,Independents
Mehr Zahoor Ahmed Arain,Muttahidda Majlis-e-Amal Pakistan
Malik Muhammad Javed Iqbal Awan,Independents
Faisal Aziz,Pakistan Muslim League (Qaid-e-Azam)
Raja Hassan Nawaz Khan,Independents
Malik Mukhtar Ahmed Awan,Independents
Malik Iftikhar Hussain Awan,Pakistan Muslim League (Nawaz)
Maulana Muhammad Sibtain Shah Naqvi,Muttahidda Majlis-e-Amal Pakistan
Malik Muhammad Javed Awan,Pakistan Peoples Party Parliamentarians
Shaukat Aziz Bhatti,Pakistan Muslim League (Qaid-e-Azam)
Brig(R) Muhammad Hassan,Pakistan Peoples Party Parliamentarians
Raja Muhammad Hameed,Pakistan Muslim League (Nawaz)
Yehya Faiz (Retired),Independents
Karam Ellahi Bandial,Independents
Malik Hassan Nawaz Gunjial,Independents
Muhammad Iqbal Utra,Pakistan Muslim League (Qaid-e-Azam)
Malik Khaliq Dad Awan,Pakistan Muslim League (Nawaz)
Malik Irfan Ahmed Gheba,Pakistan Peoples Party Parliamentarians
Malik Muhammad Ashfaq Awan,Muttahidda Majlis-e-Amal Pakistan
Malik Ehsan Gunjial,Independents
Muhammad Asif Malik,Independents
Malik Muhammad Ehsan Ullah Tiwana,Independents
Muhammad Umer Khan,Pakistan Muslim League (Nawaz)
Javed Iqbal Randhawa,Independents
Malik Sultan Mehmood Tiwana,Pakistan Peoples Party Parliamentarians
Muhammad Rizwan Aslam,Independents
Malik Abdul Sattar Amar Advocate,Muttahida Qaumi Movement Pakistan
Mehr Muhammad Anwar Arain,Independents
Malik Fiyyaz Ahmad Naich,Pakistan Awami Party
Inam Ur Rehman,Independents
Sheikh Muhammad Naveed Iqbal,Sunni Tehreek
Malik Muhammad Waris Kalo,Independents
Syed Zulqarnain Shah,Independents
Aziz Hussain,Pakistan Muslim League (Nawaz)
Gohar Jamal,Pakistan Peoples Party Parliamentarians
Jalil Ahmad,Independents
Abdul Hafeez Khan,Independents
Amanatullah Khan Shadi Khel.,Independents
Haji Muhammad Altaf Ahmed Khan,Pakistan Muslim League (Nawaz)
Adil Abdullah Khan Rokhari,Pakistan Muslim League (Nawaz)
Malik Tariq Masood Kand,Independents
Tahir Javed Khan Salar Advocate,Pakistan Muslim League (Functional)
Malik Arif Masood Kand,Independents
Muhammad Sardar Bahadur Babar Khan,Pakistan Peoples Party Parliamentarians
Ali Haidar Noor Khan Niazi,Muttahidda Majlis-e-Amal Pakistan
Gul Hameed Rokhari,Independents
Ahmed Khan,Pakistan Muslim League (Nawaz)
Mumtaz Bhhacher,Independents
Zia Ullah Khan Niazi Advocate.,Independents
Haji Imran Khan Punnu Khel,Muttahida Qaumi Movement Pakistan
Azhar Hayat Khan,Independents
Sijjad Ahmad Malik,Independents
Arif Masood Anwar Khan,Pakistan Muslim League (Functional)
Muhammad Feroz Joyia,Independents
Muhammad Sibtain Khan,Pakistan Muslim League (Qaid-e-Azam)
Zafar Saeed Rana,Pakistan Muslim League (Nawaz)
Sahabzada Qari Ghulam Yasin,Muttahidda Majlis-e-Amal Pakistan
Haji Muhammad Shahid,Muttahida Qaumi Movement Pakistan
Muhammad Sana Ullah Khan Masti Khel,Pakistan Muslim League (Nawaz)
Amir Muhammad Khan,Independents
Ali Asghar,Independents
Mulazim Hussain,Pakistan Peoples Party Parliamentarians
Muhammad Arshad Faqir,Muttahida Qaumi Movement Pakistan
Hafiz Muhammad Ais Qasimi,Independents
Saeed Akbar Khan,Independents
Ghazanfar Abbas Chheena,Pakistan Muslim League (Nawaz)
Hafeez Ullah Khan Advocate,Independents
Muhammad Ahsan Wasim,Pakistan Peoples Party Parliamentarians
Jahanzeb Gull,Independents
Engineer Raja Qamar-Ul-Islam,Pakistan Muslim League (Qaid-e-Azam)
Raja Anwar,Pakistan Muslim League (Nawaz)
Barrister Ch. Zafar Iqbal,Pakistan Peoples Party Parliamentarians
Raja Abdul Waheed Qasim,Independents
Group Captain(R) Mushtaq Ahmed Kayani,Independents
Ch. Hamid Latif Advocate,Independents
Nabeela Inam,Independents
Muhammad Zaheer Akhtar Mujadidi,Muttahidda Majlis-e-Amal Pakistan
Syed Tanveer Hussain Shah,Independents
Raja Muhammad Younas,Independents
Malik Adil Hussain Utra,Independents
Naeem Ullah Khan Shahani,Pakistan Muslim League (Nawaz)
Hafeez Ullah Khan,Independents
Moulana Muhammad Safi Ullah,Independents
Haji Liaqat Ali,Pakistan Peoples Party Parliamentarians
Muhammad Afzal Sahi,Pakistan Muslim League (Qaid-e-Azam)
Mian Rehan Maqbool,Pakistan Muslim League (Nawaz)
Tariq Mahmood Bajwa,Independents
Naeem Mohy Ud Din Siddiqui,Muttahida Qaumi Movement Pakistan
Wajad Mustafa Bajwa,Independents
Kahif Aziz,Independents
Zafar Zulkarnain Sahi,Pakistan Muslim League (Qaid-e-Azam)
Dr.muhammad Shafique Chadhry,Pakistan Muslim League (Nawaz)
Sohail Iqbal,Pakistan Peoples Party Parliamentarians
Rana Muhammad Saeed Khan,Independents
Muhammad Hassan Shafique,Independents
Ch.manzoor Ahmed Zahoor.,Independents
Huma Batool,Independents
Major (R) Abdul Rehman Rana,Pakistan Peoples Party Parliamentarians
Shahid Iqbal Awan,Pakistan Muslim League (Nawaz)
Ghulam Haider Bari,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Waqar Wasi Chaudhry,Independents
Rai Sohail Jafar Khan,Independents
Umair Wasi Chaudhry.,Independents
Asad Nawaz Kaliar,Independents
Manzoor Ali,Independents
Tasneem Elahi (Retired),Independents
Ghulam Shabbir,Independents
Rana Sohail Sarwar,Independents
Muhammad Tallal Chaudhry,Independents
M.shafqat Rana,Muttahida Qaumi Movement Pakistan
Muhammad Sarfraz Tarar,Independents
Rai Muhammad Shah Jahan Khan Kharal,Pakistan Peoples Party Parliamentarians
Ch. Azhar Hussain,Pakistan Muslim League (Nawaz)
Rai Muhammad Sohena Khan Kharal Advocate,Pakistan Muslim League (Qaid-e-Azam)
Allama Muhammad Sajid Farooqi,Muttahidda Majlis-e-Amal Pakistan
Mian Abdul Latif,Independents
Muhammad Nawaz Baloch,Independents
Zahid Hussain Shah,Muttahida Qaumi Movement Pakistan
Ch.munir Ahmad,Independents
Asad Nawaz Kalyar,Independents
Manzoor Ali,Independents
Tasneem Elahi (Retired),Independents
Zahir Ud Din,Pakistan Muslim League (Qaid-e-Azam)
Rana Muhammad Idress Khan,Pakistan Muslim League (Nawaz)
Ch.khizar Abbas,Pakistan Peoples Party Parliamentarians
Mian Muhammad Asif Raza,Sunni Tehreek
Awais Ahmad Khan,Independents
Mian Abu Bakar Hamza,Muttahidda Majlis-e-Amal Pakistan
Muhammad Talal Ch.,Independents
Junaid Ahmad Banth,Independents
Mian Muhammad Rafique,Independents
Rana Muhammad Zubair Ihsan Khan,Independents
Rai Ejaz Hussain,Pakistan Muslim League (Qaid-e-Azam)
Sardar Sikandar Hayat Jatoi,Pakistan Muslim League (Nawaz)
Rai Rub Nawaz,Pakistan Peoples Party Parliamentarians
Syed Amjad Ali Shah,Independents
Shah Khalid Naveed Khichi Advocate,Independents
Sarfraz Muhammad  Barghat Advocate,Independents
Muhammad Rizwan Khan Baloch,Muttahida Qaumi Movement Pakistan
Malik Shamshair Haider Watto,Pakistan Peoples Party Parliamentarians
Khalid Mahmood Wattoo Advocate,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Sher Nasir,Sindh United Party
Mazhar Hussain Shah Advocate,Independents
Sayed Farhat Abbas Karmani,Pakistan Muslim League (Nawaz)
Faisal Naveed Toor,Independents
Abdul Wakeel Alias Jamal Farazi,Muttahidda Majlis-e-Amal Pakistan
Shahid Khalil Noor,Pakistan Muslim League (Qaid-e-Azam)
Haji  Maqbool Ahmad Fatiana,Pakistan Peoples Party Parliamentarians
Muhammad Sadullah Baloch,Independents
Rana Naeem Iqbal,Pakistan Muslim League (Nawaz)
Muhammad Toufique Ullah,Independents
Qasim Zia,Pakistan Peoples Party Parliamentarians
Amjad Ali Warraich,Independents
Chaudhry Arif Mehmood Gill,Pakistan Muslim League (Qaid-e-Azam)
Ilyas Ali Sanghera,Independents
Chaudhry Muhammad Arshad Gujjar,Independents
Zia-Ur-Rehman,Independents
Chaudhry Tajamal Hussain Randhawa,Independents
Rana Muhammad Raouf Khan,Independents
Muhammad Anwar,Independents
Chaudhry Muhammad Ihtram-Ul-Haq Gujjar,Independents
Abid Mehmood,Independents
Engineer Chaudhry Khalid Mehmood,Independents
Chaudhry Mazhar Ali Gill,Independents
Muhammad Ijaz Butt,Independents
Tariq Bashir,Independents
Al-Haaj Najmul Hassan,Independents
Amreen,Independents
Chaudhry Abdul Khaliq Buttar,Independents
Ch. Sarfraz Afzal,Pakistan Muslim League (Nawaz)
Muhammad Basharat Raja,Pakistan Muslim League (Qaid-e-Azam)
Jahfar Hussain Shah,Pakistan Peoples Party Parliamentarians
Qari Muhammad Zia Ul Haq Haqani,Muttahidda Majlis-e-Amal Pakistan
Justan Javed,Independents
Yasir Raza Malik,Independents
Robina Tehseen,Independents
Dr. Muhammad Asif Khan,Independents
Rao Kashif Raheem Khan,Pakistan Muslim League (Nawaz)
Ch.khalid Mahmood Advocate,Pakistan Muslim League (Qaid-e-Azam)
Major Rtd Muhammad Akram,Independents
Major Rtd Sardar Abdul Basit,Pakistan Peoples Party Parliamentarians
Engineer Ch Khalid Mahmood,Independents
Muhammad Asghar Hussain (Changaiz Shaheen),Qaumi Watan Party
Muhammad Yousaf Khan Baloch,Independents
Adalat Khan,Independents
Najmul Hasan,Independents
Ch. Tanveer Aslam,Independents
Ch. Muhammad Naveed Iqbal,Independents
Ch.haji Muhammad Yasin,Independents
Rao Kamaran Mujahad,Independents
Muhammad Saeed Akhtar Ch.,Independents
Sardar Dildar Ahmad Cheema,Pakistan Muslim League (Qaid-e-Azam)
Ch.gul Ahmad Mahota,Pakistan Peoples Party Parliamentarians
Ch.zahid Mahmood Goraya,Pakistan Muslim League (Nawaz)
Qaisar Idress,Independents
Ch.nadeem Mumtaz Mahota,Independents
Raja Kamran Ahmad,Independents
Nazia Ghafar Wahla,Muttahida Qaumi Movement Pakistan
Muhammad Perveez Asghar,Independents
Ch.raza Nasrullah Ghuman,Pakistan Muslim League (Nawaz)
Rai Ahsan Raza Kharal,Pakistan Muslim League (Qaid-e-Azam)
Badarud Din Ch,Pakistan Peoples Party Parliamentarians
Mahmood Ahmad Khan Qalandar,Pakistan Qaumi Party
Sarfraz Ahmad Khan,Muttahida Qaumi Movement Pakistan
Khalid Rafi Cheema,Independents
Ch.abu Bakar Siddique Bungoo,Independents
Tahir Nazeer,Independents
Naveed Ahmad Gill,Independents
Mian Muhammad Ajmal Asif,Pakistan Muslim League (Nawaz)
Aftab Ahmed Khan,Pakistan Peoples Party Parliamentarians
Amjad Ali Warriach,National Party
Mian Abdul Qayyum,Pakistan Rah-e-Haq Party
Aftab Ahmed Khan,Independents
Abdul Hameed,Independents
Rana Muhammad Usman Masood Ali,Independents
Kaleem Ullah Advocate,Independents
Imran Bashir Gul,Independents
Mazhar Sakhawat Watto,Independents
Akbar Ali Warriach,Independents
Mian Riaz Sarpainch,Independents
Mian Muhammad Imran,Independents
Mian Akmal Waheed,Independents
Ch. Muhammad Illyas Ahmed (Retired),Independents
Shahbaz Kasyana Advocate,Independents
Zafar Iqbal Nagra,Pakistan Muslim League (Nawaz)
Jehanzeb Imtiaz Gill,Pakistan Peoples Party Parliamentarians
Ch. Khalid Saddique Dhillon,Pakistan Muslim League (Qaid-e-Azam)
Hafiz Atta Ullah,Independents
Ch. Misbah Ud Din Zaigum,Independents
Asif Javed,Independents
Farzand Ali Randhawa,Independents
Raja Riaz Ahmed,Pakistan Peoples Party Parliamentarians
Haji Muhammad Shakeel Ansari,Pakistan Muslim League (Nawaz)
Haji Bisharat Ali Manj,Pakistan Muslim League (Qaid-e-Azam)
Qari Muhammad Aash,Sunni Tehreek
Ashfaaq Ahmed Khan Dhangal,Independents
Rana Muhammad Afzal Khan,Pakistan Muslim League (Nawaz)
Muhammad Riaz Shahid,Pakistan Peoples Party Parliamentarians
Shakeel Ahmad Awan,Pakistan Muslim League (Qaid-e-Azam)
Naseer Ahmed Ch.,Sunni Tehreek
Muhammad Saqib Malik,Independents
Saqib Rehman,Muttahidda Majlis-e-Amal Pakistan
Mujahid Ul Hassan,Independents
Dr. Asad Muazzam,Pakistan Peoples Party Parliamentarians
Faqir Hussain Dogar,Pakistan Muslim League (Nawaz)
Arif Tauseef,Pakistan Muslim League (Qaid-e-Azam)
Sheikh Muhammad Yousaf,Independents
Shafaat Ali Rana,Independents
Rana Awais Ahmad Khan,Independents
Shafiq Ahmad Gujjar,Pakistan Muslim League (Nawaz)
Faiz Ullah Kamoka,Pakistan Peoples Party Parliamentarians
Zulfiqar Anayat,Pakistan Muslim League (Qaid-e-Azam)
Mufti Hamid Zia Madni,Independents
Sheikh Muhammad Yousaf,Independents
Lala Robin  Daniel,Independents
Muhammad Abdul Shakoor,Muttahidda Majlis-e-Amal Pakistan
Muhammad Shabbir Raza,Independents
Shafaat Ali Rana,Independents
Attiq Ur Rehman,Independents
Khalid Imtiaz Khan Baluch,Pakistan Muslim League (Nawaz)
Malik Asghar Ali Qaisar,Pakistan Peoples Party Parliamentarians
Mumtaz Ali Cheema,Pakistan Muslim League (Qaid-e-Azam)
Malik Riaz Ahmad Seela,Independents
Arshad Mehmood Malik Advocate,Independents
Muhammad Asghar Malik,Independents
Muhammad Shafiq Khan,Pakistan Muslim League (Qaid-e-Azam)
Mrs.umar Farooq,Pakistan Muslim League (Nawaz)
Ch. Muhammad Kamran Ali Khan,Independents
Askari Hassan Syed,Pakistan Peoples Party Parliamentarians
Hafiz Muhammad Haroon,Muttahidda Majlis-e-Amal Pakistan
Malik Muhamad Khalid Advocate,Independents
Rana Sanaullah Khan,Pakistan Muslim League (Nawaz)
Haji Muhammad Ismail Seela,Pakistan Peoples Party Parliamentarians
Habib Akbar Ansari,Independents
Dilshad Parah,Pakistan Muslim League (Qaid-e-Azam)
Miss Mehwish Chaudhary Advocate,Independents
Mian Muhammad Afzaal Jhalla,Independents
Nawab Abid Hussain,Independents
Muhammad Anwar,Independents
Mian Iftikhar Ahmed,Independents
Malik Muhammad Nawaz,Pakistan Muslim League (Nawaz)
Haleem Aslam,Pakistan Peoples Party Parliamentarians
Muhammad Faisal Anwar Kastro,Pakistan Muslim League (Qaid-e-Azam)
Allama Muhammad Tahir Hassan,Independents
Rana Zia Alam,Independents
Muhammad Razzaq Malik,Independents
Khawaja Muhammad Islam,Pakistan Muslim League (Nawaz)
Sujjah Ullah Khan,Pakistan Peoples Party Parliamentarians
Raja Adnan Tariq,Pakistan Muslim League (Qaid-e-Azam)
Khawaja Ijaz Ahmad Munna,Independents
Muhammad Rafiq Tahir,Muttahidda Majlis-e-Amal Pakistan
Ch.imtiaz Rabbani,Independents
Muhammad Naeem Ansari,Independents
Al-Hajj Muhammad Ilyas Chinioti,Independents
Ali Hassan Raza Qazi,Pakistan Peoples Party Parliamentarians
Ameer Hussain Syed,Independents
Aftab Ahmad Haral,Pakistan Muslim League (Nawaz)
Chudhary Mujeeb-Ur-Rehman,Independents
Muhammad Idrees,Independents
Ali Mohsin,Independents
Syed Hassan Murtaza,Pakistan Peoples Party Parliamentarians
Moulana Muhammad Rehmat Ullah,Independents
Syed Haider Abbas,Independents
Muhammad Ashraf Khan Chadhar,Pakistan Muslim League (Nawaz)
Muhammad Saqlain Anwar Sipra,Pakistan Muslim League (Qaid-e-Azam)
Mehr Muhammad Nawaz Bharwana,Independents
Mehr Muhammad Sarfaraz Khan Jappa,Pakistan Peoples Party Parliamentarians
Muhammad Abu Zar Bharwana,Pakistan Muslim League (Nawaz)
Syed Muhammad Ali Shah,Independents
Mehr Sultan Sikandar Bharwana,Pakistan Muslim League (Qaid-e-Azam)
Nawab Khurram Abbas Sial,Pakistan Peoples Party Parliamentarians
Ghulam Fareed Khan Naoul,Pakistan Muslim League (Nawaz)
Shaukat Ali,Independents
Fiaz Hussain Mighiana,Independents
Mehr Ahmad Yar Naoul Advocate,Independents
Sheikh Hakim Ali,Independents
Mehr Ansar Javaid Naoul,Independents
Arshad Gujjar,Independents
Muhammad Saad Ullah,Independents
Haji Muhammad Yaqub Sheikh,Pakistan Muslim League (Qaid-e-Azam)
Zafar Abbas Adil,Pakistan Peoples Party Parliamentarians
Dr. Abu-Ul-Hassan Ansari,Pakistan Muslim League (Nawaz)
Maulana Muhammad Ahmed Ludhianvi,Independents
Sheikh Hakim Ali,Independents
Maulana Abd-Ul-Ghafoor Jhangvi,Independents
Sajid Abdullah,Muttahida Qaumi Movement Pakistan
Shahid Minhas,Independents
Syed Abd-Ul-Basit Gilani,Independents
Sheikh Waqar Ahmad Advocate,Independents
Malik Muhammad Ashraf,Independents
Haji Ghulam Muhammad,Independents
Irshad Hussain,Independents
Haji Munir Ahmed Shahid,Independents
Mujahid Abbas,Independents
Rashida Yaqub,Independents
Muhammad Usman Advocate,Independents
Syed Sana-Ul-Haq Tirmizi,Independents
Mer Muhammad Iqbal Marth,Independents
Muhammad Zahid,Independents
Malik Muhammad Saeed Akhtar,Independents
Khalid Mehmood Sargana,Pakistan Muslim League (Qaid-e-Azam)
Mian Zahoor Sajid,Independents
Lft. Col.(R) Ghazanafar Abbas Shah,Independents
Chudhary Mubashir Abbas Warraich,Pakistan Muslim League (Nawaz)
Saeed Afzal Sargana,Independents
Iqbal Hussain Nadeem Alias Iqbal Nadeem Sial,Independents
Muhammad Sibtain Mohal,Independents
Hafiz Muhammad Qamar Hayat Kathiya,Pakistan Muslim League (Qaid-e-Azam)
Khalid Ghani Chudhary Advocate,Pakistan Muslim League (Nawaz)
Manzar Abbas Khan Rajbana,Independents
Dr. Iqbal Hussain,Pakistan Peoples Party Parliamentarians
Chudhary Muhammad Siddique Advocate,Muttahidda Majlis-e-Amal Pakistan
Chudhary Khalid Mehmood,Muttahida Qaumi Movement Pakistan
Ghulam Dastgeer,Independents
Mehr Naseem Abbas,Independents
Mrs.umar Farooq,Pakistan Muslim League (Nawaz)
Aamir Iqbal Khan,Pakistan Peoples Party Parliamentarians
Malik Taimoor Masood Akbar,Pakistan Muslim League (Qaid-e-Azam)
Kashif Ali Khan,Muttahida Qaumi Movement Pakistan
Prof: Akhtar Abbass Awan,Independents
"Amjad Hussain Shah,",Independents
Muhammad Masood Lali,Independents
Ghulam Muhammad Lali,Pakistan Muslim League (Qaid-e-Azam)
Zulfiqar Ahmed Gondal,Pakistan Peoples Party Parliamentarians
Iftikhar Ahmed Khan,Independents
Chiragh Akbar,Pakistan Muslim League (Qaid-e-Azam)
Ghulam Ahmed Khan Gaddi,Independents
Mian Muhammad Aslam Salyana,Pakistan Peoples Party Parliamentarians
Iqbal Buslana,Independents
Arshad Ameer Khan,Independents
Muhammad Ramzan Bhutoo,Independents
Wajid Ali Khan,Independents
Muhammad Hayat Khan,Independents
Haji Mian Muhammad Azam Chela Sial,Pakistan Muslim League (Nawaz)
Ghazanfar Ali Khan Jaboana,Pakistan Peoples Party Parliamentarians
Nasir Hussain Khan Balouch,Independents
Ch. Iftikhar Ali,Independents
Mian Habib-Ur-Rehman Chela,Independents
Moulana Muhammad Sadiq Haideri,Independents
Rana Muhammad Zahid Rasheed,Pakistan Aman Party
Mian Noor Muhammad Chela Sial,Independents
Wajid Ali Khan Jaboana,Independents
Muhammad Usman Advocate,Independents
Najaf Abbas Khan Sial,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Adan Abbas,Pakistan Muslim League (Nawaz)
Ch. Bilal Asghar Warraich,Pakistan Muslim League (Qaid-e-Azam)
Usman Ali Cheema,Pakistan Muslim League (Nawaz)
Syed Hasnaat Mahmood Shah,Pakistan Peoples Party Parliamentarians
Ch. Umer Hayyat Kahloon,Independents
Nasir Mehmood Khan,Independents
Haji Muhammad Ishaq,Pakistan Peoples Party Parliamentarians
Mian Tariq Mahmood,Pakistan Muslim League (Qaid-e-Azam)
Sajjad Rabbani,Pakistan Muslim League (Nawaz)
