candidate_name,candidate_party
Sardar M. Yousaf,Pakistan Muslim League (Nawaz)
Syed Qasim Shah,Pakistan Muslim League (Haqiqi)
M. Jehangir Khan,Pakistan Peoples Party Parliamentarians
Sahabzada Faiz-Ul-Hassan,Pakistan Muslim League (Nawaz)
Manzoor Ahmad Khan,Pakistan Islamic Front
Nawab Salahuddin Ahmad Abbasi,Pakistan Muslim League (Nawaz)
Sahabzada M. Usman Abbasi,Pakistan Muslim League (Haqiqi)
M. Abdullah,Jamiat Ulama-e-Islam (Sami)
Malik Farooq Ahmad,Pakistan Saraiki Party
Sahabzada Farooq Anwar Abbasi,Pakistan Muslim League (Nawaz)
Tariq Bashir Cheema,Pakistan Peoples Party Parliamentarians
Syed Mehmood Akbar Rizvi,Pakistan Islamic Front
M. Islam,Independents
Mian Riaz Hussain Pirzada,Pakistan Peoples Party Parliamentarians
Syed Tasneem Nawaz Gardezi,Pakistan Muslim League (Nawaz)
Ch. Ghulam M. Azim,Pakistan Islamic Front
Mian Abdul Sattar Laleka,Pakistan Muslim League (Nawaz)
Syed M. Asghar Shah,Pakistan Muslim League (Haqiqi)
Abdul Qadir Shaheen,Pakistan Peoples Party Parliamentarians
Mian Shaukat Ali Laleka,Independents
Dr. Noor M. Ghaffari,Jamiat Ulama-e-Islam (Sami)
Mian Mumtaz Ahmad,Pakistan Peoples Party Parliamentarians
Mian Abdul Sattar Laleka,Pakistan Muslim League (Nawaz)
Capt. M. Sadiq Khan Khakwani,Pakistan Islamic Front
Ghulam Rasool,Independents
Abdul Sattar,Independents
Ali Akbar Mazhar Wains,Pakistan Peoples Party Parliamentarians
Ch. Abdul Ghafoor,Pakistan Muslim League (Nawaz)
Dr. Ehsan Bari,Pakistan Islamic Front
M. Siddiq,National Democratic Alliance
Syed Ahmad Alam Anwar,Pakistan Peoples Party Parliamentarians
Kh. M. Asghar Koreja,Pakistan Muslim League (Nawaz)
Ch. Masood Ahmad,Independents
Syed Masood Alam,Independents
Makhdoom Shahabuddin,Pakistan Peoples Party Parliamentarians
Makhdoom Rukanuddin,Pakistan Muslim League (Nawaz)
Hafiz M. Akbar,Jamiat Ulama-e-Islam (Sami)
Mukhtiar Ahmad Azad,Pakistan Saraiki Party
Ch. M. Jaffar Iqbal,Pakistan Muslim League (Nawaz)
Zafar Iqbal Warraich,Pakistan Peoples Party Parliamentarians
Abdur Rauf Rabbani,Islami Jamhoori Mahaz
Abdul Majeed Kanju,National Democratic Alliance
M. Saleem Akhtar,Independents
Iftikhar Ahmad,Independents
Nawabzada Salahuddin Saeed,Pakistan Muslim League (Nawaz)
Zargul,Independents
Shaukat Ali Khan,Pakistan Islamic Front
Molana Hafeez-Ur-Rehman,Jamiat Ulama-e-Islam (Sami)
Mukhtasar Khan,Independents
Attaullah,Independents
Syed Ahmad Mehmood,Pakistan Muslim League (Nawaz)
Sardar Rafiq Haider Khan Leghari,Pakistan Peoples Party Parliamentarians
Ch. M. Hanif,Pakistan Islamic Front
Khurshid Ahmad Shah,Pakistan Peoples Party Parliamentarians
Yar M. Ghumro,Pakistan Muslim League (Nawaz)
Syed Gulzar Shah,Independents
Asadullah Bhutto,Pakistan Islamic Front
Shoukat Ali,Independents
Sikandar Ali,Independents
Nusrat Aziz,Independents
Dhani Bakhsh Baloch,Independents
Abdul Mujib Pirzado,Independents
M. Saleem,Haq Parast Group
Abdul Jabbar Lakho,Independents
Mehboob Hussain,Independents
Faruk Adil Sheikh,Independents
Najmuddin Sheikh,Independents
Abdul Kadir Ghumro,Independents
Javed Hussain Shah,Independents
Sardar Ghulam M. Khan Mehar,Pakistan Muslim League (Nawaz)
Jam Saifullah Dharejo,Pakistan Peoples Party Parliamentarians
Sardar Ali Gohar Khan,Independents
Mir Sobdar Khan,Independents
Ghulam Akbar Kalwar,Independents
Jam Zafarullah Khan Dharejo,Independents
Haji Ali Anwar Khan,Independents
Karam Illahi Khan,Independents
Sardar Haji Noor M. Khan Lund,Pakistan Peoples Party Parliamentarians
Haji Ahmad Yar Khan,Pakistan Muslim League (Nawaz)
Jam Mumtaz Hussain,Independents
Nawab Khan,Independents
Dadan Khan Lund,Independents
Manzoor Ahmad Khan,Independents
Sardar Ali Gohar Khan,Independents
Aftab Shahban Mirani,Pakistan Peoples Party Parliamentarians
Molvi M. Alim,Islami Jamhoori Mahaz
Maqbool Ahmad,Independents
Sher Muhammad,Pakistan Islamic Front
Abdul Nabi,Independents
Zahid Ali,Independents
Junaid Ahmad,Independents
Qazi Hafeez-Ur-Rehman,Independents
Altaf Ali Bhayo,Pakistan Peoples Party Parliamentarians
Agha Atta M. Khan,Independents
Sardar Wahid Bakhsh Bhayo,Independents
Abdur Rahim Khan,Independents
Sikandar Khan Kakepoto,Independents
Agha Arsala Khan,Independents
Mir Ijaz Khan,Independents
Mir Ramzan Khan Bhayo,Independents
Muzafar Ali Issani,Independents
Mir Ahmad Nawaz Khan Jakhrani,Pakistan Peoples Party Parliamentarians
Illahi Bakhsh Soomro,Pakistan Muslim League (Nawaz)
Kashmeer Khan,Independents
Molana M. Sharif,Islami Jamhoori Mahaz
Mir Liaquat Ali,Independents
Sardar Baqa Muhammad,Independents
Mir Hassan Khan Khoso,Independents
Ijaz Hussain,Independents
Mir Naseer Khan,Independents
M. Aslam Abro (Retired),Independents
Mir Mehran Khan Bijarani,Pakistan Peoples Party Parliamentarians
Mir Hazar Khan,Independents
Pir Abdul Khalique Samejo,Independents
Molvi Abdullah,Pakistan Islamic Front
Mir Baggan Khan,Independents
Mir Sarferaz Khan,Independents
Ghulam Mustafa Khan Jatoi,National Peoples Party
Asif Ali Zardari,Pakistan Peoples Party Parliamentarians
Khan M. Jamali,Independents
Dr. Abdul Hamid Memon,Independents
Dil Murad Jamali,Independents
Zafar Ali Shah,Independents
Ghulam Asghar Abbasi,Independents
Ghulam Mustafa Jamali,Independents
Pir Syed Abbas Ali Shah,Independents
Shabir Ahmad Saheto,Independents
Arif Khan Jatoi,Independents
Ghulam Rasool Khan Jatoi,Independents
Qadeer Ahmad Saheto,Independents
Maqsood Ahmad Qureshi,Haq Parast Group
Zafar Ali Shah,Pakistan Peoples Party Parliamentarians
Khalid Mian Rajpar,Pakistan Muslim League (Nawaz)
Mole Dino Rajpar,Independents
M. Saddiq,Independents
Syed Murad Ali Shah,Independents
Munawar Ali Shah,Independents
Ghulam Murtaza Soomro,Independents
Tariq Khan,Independents
Imtiaz Ali Taj,Independents
M. Siddiq,Independents
Mumtaz Ali,Independents
Abdul Jabbar,Haq Parast Group
Ghulam Akbar,Independents
Asghar Ali Shah,Independents
Ghulam Mujtaba Khan,Independents
Imam Bakhsh Khan,Independents
Haji M. Ayub Khan,Pakistan Muslim League (Nawaz)
Alamzeb Khan,Islami Jamhoori Mahaz
Sadar Malik Jan,Jamiat Ulama-e-Islam (Sami)
"Alhaj Rab Nawaz Khan, Adv.",Independents
Abdullah Jan,Independents
Asif Ali Zardari,Pakistan Peoples Party Parliamentarians
Syed Kazim Hussain Shah,Pakistan Muslim League (Nawaz)
Syed Javed Haider Shah,Independents
Dr. Karam Ali Rustmani,Independents
Kamran Azizullah,Independents
Molvi Abdul Karim,Islami Jamhoori Mahaz
M. Mohsin Naeem,Independents
Abdul Majeed,Haq Parast Group
Syed Azam Hussain,Dehat Ittehad Party
Dr. M. Umar,Independents
Inayat Ali Rind,Independents
Lal Mir Khan,Independents
M. Yaqoob Lashari,Independents
Hakim Ali Zardari,Pakistan Peoples Party Parliamentarians
Syed Shabir Ahmad Shah,Independents
Ghulam Mustafa Shah,Independents
Syed Mehmood Ahmad Shah,Independents
Moharam Ali Khokhar,Independents
Ghulam Qadir Chandio,Independents
Sardar Jam Tamachi,Independents
Haji Allah Bakhsh Lakho,Independents
Shabir Ahmad Khanzada,Haq Parast Group
Jam Feroze,Independents
Abdul Rasheed Ghagar,Independents
Manzoor Hussain Wassan,Pakistan Peoples Party Parliamentarians
S. Ghous Ali Shah,Pakistan Muslim League (Nawaz)
S. Sanaullah Shah,Independents
S. Shabir Haider Shah,Independents
M. Ali Wassan,Independents
Rahim Bakhsh Wassan,Jamiat Ulama-e-Islam (Sami)
Pir Syed Abdul Qadir Shah,Pakistan Peoples Party Parliamentarians
Pir Syed Saddaruddin Shah,Pakistan Muslim League (Nawaz)
Sharafuddin Khan,Independents
Pir Syed M. Taqi Shah,Independents
Dr. Ahmad Ali,Pakistan Islamic Front
Pir Syed Zahoor Ahmad Shah,Independents
Pir Bakhsh,Independents
Bashir Ahmad,Independents
Mumtaz Hussain,Independents
Begum Nusrat Bhutto,Pakistan Peoples Party Parliamentarians
Hameed Khuhro,Pakistan Muslim League (Nawaz)
Hafiz Ahmad Ali,Islami Jamhoori Mahaz
